======================================================================================================================
   LOCAL CONGESTION MFG EXAMPLE 2D (Picard)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0, ymin = 0.0, ymax = 1.0
  T    = 1.0, Nx = 200, Ny = 200, Nt = 20
  nu   = 0.01, beta = 1.5, zeta = 1.0
Solver Parameters:
  PICARD_MAX_ITER = 100, PICARD_TOL = 1e-06
  DAMPING = 0.7
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
Grid Info:
  dt = 0.050000, dx = 0.005000, dy = 0.005000
Problem Specific Parameters:
  initial_support = [0.375, 0.625]^2, initial_height = 4.0, boundary = periodic
  terminal_wells = [(0.3, 0.5), (0.7, 0.5)], terminal_scale = 15.0, congestion_scale = 4.0
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)  
----------------------------------------------------------------------------------------------------------------------
1     | 9.7465e-01   | 1.0000e+00   | 8.1791e-01   | 3.2047e-01   | 89         | 29.4791
2     | 4.7804e-01   | 4.9048e-01   | 4.8033e-01   | 2.2251e-01   | 89         | 28.8428
3     | 2.1911e-01   | 1.6278e-01   | 2.5850e-01   | 1.2620e-01   | 87         | 27.9360
4     | 7.0786e-02   | 4.6960e-02   | 1.5443e-01   | 7.4821e-02   | 88         | 28.2373
5     | 3.9580e-02   | 2.5433e-02   | 8.2735e-02   | 3.9883e-02   | 88         | 27.8884
6     | 2.1890e-02   | 1.3832e-02   | 6.2147e-02   | 3.0021e-02   | 87         | 28.2513
7     | 1.5094e-02   | 9.4800e-03   | 4.0890e-02   | 1.9770e-02   | 87         | 27.7596
8     | 1.1578e-02   | 7.2612e-03   | 2.9533e-02   | 1.4271e-02   | 87         | 28.0182
9     | 8.3836e-03   | 5.2465e-03   | 2.3209e-02   | 1.1212e-02   | 87         | 27.7462
10    | 6.6457e-03   | 4.1588e-03   | 1.8217e-02   | 8.8003e-03   | 87         | 27.9425
11    | 4.8575e-03   | 3.0386e-03   | 1.3688e-02   | 6.6125e-03   | 87         | 28.0308
12    | 3.7611e-03   | 2.3517e-03   | 1.0325e-02   | 4.9879e-03   | 87         | 28.5516
13    | 3.2478e-03   | 2.0313e-03   | 8.2579e-03   | 3.9891e-03   | 87         | 28.7615
14    | 2.3303e-03   | 1.4570e-03   | 6.2241e-03   | 3.0066e-03   | 87         | 27.9940
15    | 1.6416e-03   | 1.0264e-03   | 4.4846e-03   | 2.1663e-03   | 87         | 28.1763
16    | 1.3847e-03   | 8.6589e-04   | 3.4857e-03   | 1.6838e-03   | 87         | 28.2346
17    | 1.0893e-03   | 6.8104e-04   | 2.7754e-03   | 1.3407e-03   | 87         | 27.9888
18    | 7.5588e-04   | 4.7263e-04   | 2.0439e-03   | 9.8730e-04   | 87         | 27.7436
19    | 5.5986e-04   | 3.5007e-04   | 1.4877e-03   | 7.1866e-04   | 87         | 27.8179
20    | 4.6836e-04   | 2.9284e-04   | 1.1827e-03   | 5.7132e-04   | 87         | 27.8744
21    | 3.5962e-04   | 2.2486e-04   | 9.2879e-04   | 4.4866e-04   | 87         | 28.0963
22    | 2.4764e-04   | 1.5484e-04   | 6.7439e-04   | 3.2577e-04   | 87         | 27.2057
23    | 1.9031e-04   | 1.1899e-04   | 5.0191e-04   | 2.4245e-04   | 87         | 27.5628
24    | 1.5988e-04   | 9.9969e-05   | 4.0327e-04   | 1.9480e-04   | 87         | 27.2067
25    | 1.1874e-04   | 7.4243e-05   | 3.1109e-04   | 1.5028e-04   | 87         | 27.4339
26    | 8.2173e-05   | 5.1380e-05   | 2.2471e-04   | 1.0855e-04   | 87         | 26.9739
27    | 6.5713e-05   | 4.1088e-05   | 1.7059e-04   | 8.2405e-05   | 87         | 26.8677
28    | 5.4290e-05   | 3.3945e-05   | 1.3727e-04   | 6.6309e-05   | 87         | 26.9441
29    | 3.9163e-05   | 2.4487e-05   | 1.0399e-04   | 5.0233e-05   | 87         | 26.8757
30    | 2.7570e-05   | 1.7238e-05   | 7.5060e-05   | 3.6258e-05   | 87         | 26.8788
31    | 2.2692e-05   | 1.4188e-05   | 5.8149e-05   | 2.8090e-05   | 87         | 26.8931
32    | 1.8313e-05   | 1.1450e-05   | 4.6576e-05   | 2.2499e-05   | 87         | 26.8938
33    | 1.2888e-05   | 8.0583e-06   | 3.4656e-05   | 1.6741e-05   | 87         | 26.8099
34    | 9.3377e-06   | 5.8385e-06   | 2.5181e-05   | 1.2164e-05   | 87         | 27.0132
35    | 7.8285e-06   | 4.8949e-06   | 1.9865e-05   | 9.5962e-06   | 87         | 26.9436
36    | 6.1308e-06   | 3.8333e-06   | 1.5738e-05   | 7.6023e-06   | 87         | 27.4069
37    | 4.2451e-06   | 2.6543e-06   | 1.1529e-05   | 5.5691e-06   | 87         | 27.0590
38    | 3.1915e-06   | 1.9955e-06   | 8.4886e-06   | 4.1005e-06   | 87         | 28.1748
39    | 2.6879e-06   | 1.6807e-06   | 6.7855e-06   | 3.2778e-06   | 87         | 28.1476
40    | 2.0376e-06   | 1.2740e-06   | 5.2934e-06   | 2.5571e-06   | 87         | 27.1164
41    | 1.4047e-06   | 8.7830e-07   | 3.8366e-06   | 1.8533e-06   | 87         | 28.7802
42    | 1.0982e-06   | 6.8667e-07   | 2.8767e-06   | 1.3896e-06   | 87         | 28.1725
43    | 9.1712e-07   | 5.7344e-07   | 2.3142e-06   | 1.1179e-06   | 87         | 28.4895
44    | 6.7320e-07   | 4.2093e-07   | 1.7729e-06   | 8.5641e-07   | 87         | 28.9231
----------------------------------------------------------------------------------------------------------------------
CONVERGED in 44 iterations.
Total Execution Time: 1227.5841 seconds.
