x,rho_0.1,rho_0.05,rho_0.01,rho_0.005,rho_0.001,rho_0.0005,rho_0.0001
-2.0,-0.48949162234835053,-0.5544916223483506,-0.5992916223483505,-0.6044416223483505,-0.6084896223483505,-0.6089911223483505,-0.6093916023483504
-1.98,-0.4915687419979191,-0.5555065604824991,-0.5994919058755818,-0.6045416313870371,-0.6085096041293645,-0.6090011120252832,-0.6093936000907906
-1.96,-0.49362404189031095,-0.5565110554269163,-0.599690166630446,-0.6046406328729407,-0.608529385003984,-0.6090110012864911,-0.609395577756072
-1.94,-0.4956575448843456,-0.5575051128933679,-0.5998864047908283,-0.6047386268328169,-0.6085489649675423,-0.6090207901290127,-0.6093975353435022
-1.92,-0.49766927384881754,-0.5584887386009894,-0.6000806205365553,-0.604835613294419,-0.6085683440155764,-0.609030478549988,-0.6093994728524081
-1.9,-0.4996592516575942,-0.55946193827508,-0.6002728140493574,-0.6049315922864923,-0.6085875221438276,-0.6090400665466609,-0.6094013902821385
-1.88,-0.5016275011846725,-0.5604247176458843,-0.6004629855128301,-0.6050265638387675,-0.6086064993482433,-0.6090495541163773,-0.6094032876320618
-1.8599999999999999,-0.503574045299196,-0.5613770824473624,-0.6006511351123937,-0.6051205279819543,-0.6086252756249764,-0.6090589412565875,-0.6094051649015678
-1.84,-0.5054989068604331,-0.5623190384159464,-0.6008372630352534,-0.6052134847477337,-0.6086438509703872,-0.6090682279648458,-0.6094070220900671
-1.82,-0.5074021087127197,-0.563250591289289,-0.6010213694703577,-0.6053054341687514,-0.6086622253810434,-0.6090774142388111,-0.6094088591969918
-1.8,-0.5092836736803661,-0.5641717468049975,-0.6012034546083548,-0.6053963762786093,-0.6086803988537209,-0.609086500076248,-0.6094106762217947
-1.78,-0.5111436245625317,-0.5650825106993599,-0.6013835186415506,-0.605486311111858,-0.6086983713854044,-0.6090954854750261,-0.60941247316395
-1.76,-0.5129819841280692,-0.5659828887060606,-0.6015615617638636,-0.6055752387039877,-0.6087161429732879,-0.6091043704331212,-0.6094142500229535
-1.74,-0.5147987751103379,-0.5668728865548857,-0.60173758417078,-0.6056631590914193,-0.6087337136147752,-0.6091131549486153,-0.6094160067983224
-1.72,-0.5165940202019921,-0.5677525099704203,-0.601911586059308,-0.6057500723114959,-0.6087510833074798,-0.6091218390196969,-0.6094177434895954
-1.7,-0.5183677420497416,-0.5686217646707358,-0.6020835676279299,-0.6058359784024724,-0.6087682520492258,-0.6091304226446619,-0.6094194600963331
-1.68,-0.5201199632490913,-0.56948065636607,-0.602253529076556,-0.6059208774035058,-0.6087852198380478,-0.6091389058219129,-0.6094211566181175
-1.66,-0.5218507063390578,-0.5703291907574998,-0.6024214706064747,-0.6060047693546448,-0.6088019866721908,-0.6091472885499603,-0.6094228330545526
-1.6400000000000001,-0.5235599937968665,-0.571167373535605,-0.6025873924203032,-0.6060876542968194,-0.608818552550111,-0.6091555708274213,-0.6094244894052642
-1.62,-0.5252478480326312,-0.5719952103791274,-0.6027512947219384,-0.6061695322718295,-0.6088349174704757,-0.609163752653022,-0.6094261256699001
-1.6,-0.5269142913840197,-0.5728127069536216,-0.6029131777165051,-0.6062504033223338,-0.6088510814321628,-0.6091718340255954,-0.6094277418481296
-1.58,-0.5285593461109035,-0.5736198689101021,-0.6030730416103041,-0.6063302674918376,-0.6088670444342611,-0.6091798149440832,-0.6094293379396449
-1.56,-0.5301830343899978,-0.5744167018836832,-0.6032308866107602,-0.606409124824681,-0.6088828064760702,-0.609187695407535,-0.6094309139441598
-1.54,-0.5317853783094912,-0.5752032114922153,-0.603386712926369,-0.6064869753660268,-0.6088983675570999,-0.6091954754151084,-0.6094324698614101
-1.52,-0.5333663998636687,-0.5759794033349163,-0.6035405207666427,-0.606563819161847,-0.6089137276770707,-0.609203154966069,-0.6094340056911536
-1.5,-0.5349261209475287,-0.5767452829909997,-0.603692310342055,-0.6066396562589097,-0.6089288868359124,-0.6092107340597909,-0.6094355214331708
-1.48,-0.5364645633513975,-0.5775008560182987,-0.6038420818639868,-0.6067144867047665,-0.6089438450337645,-0.6092182126957557,-0.6094370170872637
-1.46,-0.5379817487555423,-0.5782461279518888,-0.6039898355446688,-0.6067883105477375,-0.608958602270976,-0.6092255908735534,-0.6094384926532567
-1.44,-0.5394776987247851,-0.5789811043027069,-0.6041355715971262,-0.6068611278368978,-0.6089731585481033,-0.6092328685928818,-0.6094399481309963
-1.42,-0.5409524347031198,-0.5797057905561693,-0.60427929023512,-0.6069329386220631,-0.6089875138659112,-0.6092400458535459,-0.609441383520351
-1.4,-0.5424059780083347,-0.580420192170789,-0.6044209916730898,-0.6070037429537744,-0.609001668225372,-0.6092471226554588,-0.609442798821212
