phase,nu,method,n_attempts,theta_used,iters,status,time_at_nu,cumulative_time
1,1.0,NewtonPicard,1,0.8,11,converged,55.0,55.0
1,0.3,NewtonPicard,1,0.8,11,converged,57.2,112.3
1,0.1,NewtonPicard,1,0.8,22,converged,122.0,234.2
1,0.03,NewtonPicard,4,0.5,76,converged,684.7,918.8
1,0.01,NewtonPicard,3,0.3,43,converged,460.3,1379.2
1,0.003,NewtonPicard,3,0.1,130,converged,1105.7,2484.9
1,0.001,NewtonPicard,1,0.1,119,converged,805.2,3290.1
2,0.0003,NewtonPicard,2,,200,maxiter,1440.5,4730.6
3,0.001,GlobalNewton,1,,2,converged,1531.7,6262.3
4,0.0003,GlobalNewton,1,,4,converged,5109.1,11371.5
4,0.0001,GlobalNewton,1,,4,converged,5440.7,16812.1
