x m_star m_num
-2.000000e+00 4.049955e-05 4.049955e-05
-1.980000e+00 4.941683e-05 5.020256e-05
-1.960000e+00 6.017705e-05 6.579986e-05
-1.940000e+00 7.313382e-05 8.433068e-05
-1.920000e+00 8.870276e-05 1.062972e-04
-1.900000e+00 1.073711e-04 1.322804e-04
-1.880000e+00 1.297087e-04 1.629512e-04
-1.860000e+00 1.563803e-04 1.990822e-04
-1.840000e+00 1.881597e-04 2.415620e-04
-1.820000e+00 2.259449e-04 2.914096e-04
-1.800000e+00 2.707757e-04 3.497917e-04
-1.780000e+00 3.238534e-04 4.180410e-04
-1.760000e+00 3.865615e-04 4.976765e-04
-1.740000e+00 4.604899e-04 5.904261e-04
-1.720000e+00 5.474609e-04 6.982505e-04
-1.700000e+00 6.495573e-04 8.233702e-04
-1.680000e+00 7.691538e-04 9.682937e-04
-1.660000e+00 9.089508e-04 1.135849e-03
-1.640000e+00 1.072010e-03 1.329218e-03
-1.620000e+00 1.261795e-03 1.551968e-03
-1.600000e+00 1.482212e-03 1.808095e-03
-1.580000e+00 1.737654e-03 2.102063e-03
-1.560000e+00 2.033047e-03 2.438842e-03
-1.540000e+00 2.373904e-03 2.823959e-03
-1.520000e+00 2.766369e-03 3.263538e-03
-1.500000e+00 3.217278e-03 3.764354e-03
-1.480000e+00 3.734208e-03 4.333878e-03
-1.460000e+00 4.325534e-03 4.980330e-03
-1.440000e+00 5.000489e-03 5.712728e-03
-1.420000e+00 5.769213e-03 6.540938e-03
-1.400000e+00 6.642814e-03 7.475726e-03
-1.380000e+00 7.633418e-03 8.528806e-03
-1.360000e+00 8.754219e-03 9.712884e-03
-1.340000e+00 1.001953e-02 1.104170e-02
-1.320000e+00 1.144480e-02 1.253008e-02
-1.300000e+00 1.304671e-02 1.419395e-02
-1.280000e+00 1.484311e-02 1.605036e-02
-1.260000e+00 1.685312e-02 1.811755e-02
-1.240000e+00 1.909708e-02 2.041489e-02
-1.220000e+00 2.159660e-02 2.296293e-02
-1.200000e+00 2.437446e-02 2.578338e-02
-1.180000e+00 2.745465e-02 2.889906e-02
-1.160000e+00 3.086231e-02 3.233390e-02
-1.140000e+00 3.462361e-02 3.611285e-02
-1.120000e+00 3.876569e-02 4.026181e-02
-1.100000e+00 4.331659e-02 4.480755e-02
-1.080000e+00 4.830503e-02 4.977757e-02
-1.060000e+00 5.376032e-02 5.520001e-02
-1.040000e+00 5.971216e-02 6.110344e-02
-1.020000e+00 6.619042e-02 6.751671e-02
-1.000000e+00 7.322491e-02 7.446871e-02
-9.800000e-01 8.084516e-02 8.198819e-02
-9.600000e-01 8.908008e-02 9.010345e-02
-9.400000e-01 9.795770e-02 9.884211e-02
-9.200000e-01 1.075048e-01 1.082308e-01
-9.000000e-01 1.177467e-01 1.182947e-01
-8.800000e-01 1.287066e-01 1.290575e-01
-8.600000e-01 1.404056e-01 1.405407e-01
-8.400000e-01 1.528620e-01 1.527635e-01
-8.200000e-01 1.660910e-01 1.657423e-01
-8.000000e-01 1.801042e-01 1.794902e-01
-7.800000e-01 1.949096e-01 1.940168e-01
-7.600000e-01 2.105105e-01 2.093277e-01
-7.400000e-01 2.269060e-01 2.254241e-01
-7.200000e-01 2.440897e-01 2.423025e-01
-7.000000e-01 2.620501e-01 2.599542e-01
-6.800000e-01 2.807700e-01 2.783652e-01
-6.600000e-01 3.002261e-01 2.975156e-01
-6.400000e-01 3.203889e-01 3.173796e-01
-6.200000e-01 3.412228e-01 3.379250e-01
-6.000000e-01 3.626854e-01 3.591133e-01
-5.800000e-01 3.847277e-01 3.808996e-01
-5.600000e-01 4.072942e-01 4.032321e-01
-5.400000e-01 4.303228e-01 4.260526e-01
-5.200000e-01 4.537452e-01 4.492964e-01
-5.000000e-01 4.774864e-01 4.728925e-01
-4.800000e-01 5.014659e-01 4.967637e-01
-4.600000e-01 5.255975e-01 5.208269e-01
-4.400000e-01 5.497896e-01 5.449937e-01
-4.200000e-01 5.739462e-01 5.691707e-01
-4.000000e-01 5.979671e-01 5.932601e-01
-3.800000e-01 6.217485e-01 6.171602e-01
-3.600000e-01 6.451841e-01 6.407662e-01
-3.400000e-01 6.681654e-01 6.639708e-01
-3.200000e-01 6.905827e-01 6.866651e-01
-3.000000e-01 7.123260e-01 7.087395e-01
-2.800000e-01 7.332859e-01 7.300843e-01
-2.600000e-01 7.533544e-01 7.505911e-01
-2.400000e-01 7.724256e-01 7.701530e-01
-2.200000e-01 7.903973e-01 7.886662e-01
-2.000000e-01 8.071711e-01 8.060305e-01
