x u_star u_num
-2.000000e+00 7.271561e+00 7.271561e+00
-1.980000e+00 7.172061e+00 7.172209e+00
-1.960000e+00 7.073561e+00 7.074001e+00
-1.940000e+00 6.976061e+00 6.976897e+00
-1.920000e+00 6.879561e+00 6.880866e+00
-1.900000e+00 6.784061e+00 6.785885e+00
-1.880000e+00 6.689561e+00 6.691937e+00
-1.860000e+00 6.596061e+00 6.599007e+00
-1.840000e+00 6.503561e+00 6.507085e+00
-1.820000e+00 6.412061e+00 6.416161e+00
-1.800000e+00 6.321561e+00 6.326228e+00
-1.780000e+00 6.232061e+00 6.237281e+00
-1.760000e+00 6.143561e+00 6.149315e+00
-1.740000e+00 6.056061e+00 6.062325e+00
-1.720000e+00 5.969561e+00 5.976310e+00
-1.700000e+00 5.884061e+00 5.891266e+00
-1.680000e+00 5.799561e+00 5.807192e+00
-1.660000e+00 5.716061e+00 5.724087e+00
-1.640000e+00 5.633561e+00 5.641948e+00
-1.620000e+00 5.552061e+00 5.560776e+00
-1.600000e+00 5.471561e+00 5.480570e+00
-1.580000e+00 5.392061e+00 5.401330e+00
-1.560000e+00 5.313561e+00 5.323056e+00
-1.540000e+00 5.236061e+00 5.245746e+00
-1.520000e+00 5.159561e+00 5.169403e+00
-1.500000e+00 5.084061e+00 5.094025e+00
-1.480000e+00 5.009561e+00 5.019614e+00
-1.460000e+00 4.936061e+00 4.946170e+00
-1.440000e+00 4.863561e+00 4.873693e+00
-1.420000e+00 4.792061e+00 4.802185e+00
-1.400000e+00 4.721561e+00 4.731645e+00
-1.380000e+00 4.652061e+00 4.662074e+00
-1.360000e+00 4.583561e+00 4.593474e+00
-1.340000e+00 4.516061e+00 4.525846e+00
-1.320000e+00 4.449561e+00 4.459189e+00
-1.300000e+00 4.384061e+00 4.393506e+00
-1.280000e+00 4.319561e+00 4.328796e+00
-1.260000e+00 4.256061e+00 4.265062e+00
-1.240000e+00 4.193561e+00 4.202305e+00
-1.220000e+00 4.132061e+00 4.140524e+00
-1.200000e+00 4.071561e+00 4.079722e+00
-1.180000e+00 4.012061e+00 4.019900e+00
-1.160000e+00 3.953561e+00 3.961058e+00
-1.140000e+00 3.896061e+00 3.903199e+00
-1.120000e+00 3.839561e+00 3.846323e+00
-1.100000e+00 3.784061e+00 3.790432e+00
-1.080000e+00 3.729561e+00 3.735527e+00
-1.060000e+00 3.676061e+00 3.681609e+00
-1.040000e+00 3.623561e+00 3.628680e+00
-1.020000e+00 3.572061e+00 3.576741e+00
-1.000000e+00 3.521561e+00 3.525793e+00
-9.800000e-01 3.472061e+00 3.475839e+00
-9.600000e-01 3.423561e+00 3.426878e+00
-9.400000e-01 3.376061e+00 3.378913e+00
-9.200000e-01 3.329561e+00 3.331945e+00
-9.000000e-01 3.284061e+00 3.285976e+00
-8.800000e-01 3.239561e+00 3.241007e+00
-8.600000e-01 3.196061e+00 3.197039e+00
-8.400000e-01 3.153561e+00 3.154073e+00
-8.200000e-01 3.112061e+00 3.112112e+00
-8.000000e-01 3.071561e+00 3.071156e+00
-7.800000e-01 3.032061e+00 3.031207e+00
-7.600000e-01 2.993561e+00 2.992266e+00
-7.400000e-01 2.956061e+00 2.954335e+00
-7.200000e-01 2.919561e+00 2.917413e+00
-7.000000e-01 2.884061e+00 2.881504e+00
-6.800000e-01 2.849561e+00 2.846607e+00
-6.600000e-01 2.816061e+00 2.812724e+00
-6.400000e-01 2.783561e+00 2.779856e+00
-6.200000e-01 2.752061e+00 2.748004e+00
-6.000000e-01 2.721561e+00 2.717168e+00
-5.800000e-01 2.692061e+00 2.687349e+00
-5.600000e-01 2.663561e+00 2.658547e+00
-5.400000e-01 2.636061e+00 2.630765e+00
-5.200000e-01 2.609561e+00 2.604000e+00
-5.000000e-01 2.584061e+00 2.578255e+00
-4.800000e-01 2.559561e+00 2.553529e+00
-4.600000e-01 2.536061e+00 2.529822e+00
-4.400000e-01 2.513561e+00 2.507135e+00
-4.200000e-01 2.492061e+00 2.485466e+00
-4.000000e-01 2.471561e+00 2.464817e+00
-3.800000e-01 2.452061e+00 2.445185e+00
-3.600000e-01 2.433561e+00 2.426572e+00
-3.400000e-01 2.416061e+00 2.408976e+00
-3.200000e-01 2.399561e+00 2.392396e+00
-3.000000e-01 2.384061e+00 2.376832e+00
-2.800000e-01 2.369561e+00 2.362283e+00
-2.600000e-01 2.356061e+00 2.348747e+00
-2.400000e-01 2.343561e+00 2.336223e+00
-2.200000e-01 2.332061e+00 2.324711e+00
-2.000000e-01 2.321561e+00 2.314208e+00
-1.800000e-01 2.312061e+00 2.304714e+00
-1.600000e-01 2.303561e+00 2.296226e+00
-1.400000e-01 2.296061e+00 2.288743e+00
-1.200000e-01 2.289561e+00 2.282264e+00
-1.000000e-01 2.284061e+00 2.276786e+00
-8.000000e-02 2.279561e+00 2.272308e+00
-6.000000e-02 2.276061e+00 2.268829e+00
-4.000000e-02 2.273561e+00 2.266346e+00
-2.000000e-02 2.272061e+00 2.264857e+00
0.000000e+00 2.271561e+00 2.264362e+00
2.000000e-02 2.272061e+00 2.264857e+00
4.000000e-02 2.273561e+00 2.266346e+00
6.000000e-02 2.276061e+00 2.268829e+00
8.000000e-02 2.279561e+00 2.272308e+00
1.000000e-01 2.284061e+00 2.276786e+00
1.200000e-01 2.289561e+00 2.282264e+00
1.400000e-01 2.296061e+00 2.288743e+00
1.600000e-01 2.303561e+00 2.296226e+00
1.800000e-01 2.312061e+00 2.304714e+00
2.000000e-01 2.321561e+00 2.314208e+00
2.200000e-01 2.332061e+00 2.324711e+00
2.400000e-01 2.343561e+00 2.336223e+00
2.600000e-01 2.356061e+00 2.348747e+00
2.800000e-01 2.369561e+00 2.362283e+00
3.000000e-01 2.384061e+00 2.376832e+00
3.200000e-01 2.399561e+00 2.392396e+00
3.400000e-01 2.416061e+00 2.408976e+00
3.600000e-01 2.433561e+00 2.426572e+00
3.800000e-01 2.452061e+00 2.445185e+00
4.000000e-01 2.471561e+00 2.464817e+00
4.200000e-01 2.492061e+00 2.485466e+00
4.400000e-01 2.513561e+00 2.507135e+00
4.600000e-01 2.536061e+00 2.529822e+00
4.800000e-01 2.559561e+00 2.553529e+00
5.000000e-01 2.584061e+00 2.578255e+00
5.200000e-01 2.609561e+00 2.604000e+00
5.400000e-01 2.636061e+00 2.630765e+00
5.600000e-01 2.663561e+00 2.658547e+00
5.800000e-01 2.692061e+00 2.687349e+00
6.000000e-01 2.721561e+00 2.717168e+00
6.200000e-01 2.752061e+00 2.748004e+00
6.400000e-01 2.783561e+00 2.779856e+00
6.600000e-01 2.816061e+00 2.812724e+00
6.800000e-01 2.849561e+00 2.846607e+00
