x u_star u_num
-2.000000e+00 7.271561e+00 7.271561e+00
-1.980000e+00 7.172061e+00 7.172219e+00
-1.960000e+00 7.073561e+00 7.074022e+00
-1.940000e+00 6.976061e+00 6.976929e+00
-1.920000e+00 6.879561e+00 6.880911e+00
-1.900000e+00 6.784061e+00 6.785943e+00
-1.880000e+00 6.689561e+00 6.692009e+00
-1.860000e+00 6.596061e+00 6.599093e+00
-1.840000e+00 6.503561e+00 6.507185e+00
-1.820000e+00 6.412061e+00 6.416276e+00
-1.800000e+00 6.321561e+00 6.326358e+00
-1.780000e+00 6.232061e+00 6.237426e+00
-1.760000e+00 6.143561e+00 6.149475e+00
-1.740000e+00 6.056061e+00 6.062502e+00
-1.720000e+00 5.969561e+00 5.976502e+00
-1.700000e+00 5.884061e+00 5.891474e+00
-1.680000e+00 5.799561e+00 5.807417e+00
-1.660000e+00 5.716061e+00 5.724328e+00
-1.640000e+00 5.633561e+00 5.642206e+00
-1.620000e+00 5.552061e+00 5.561051e+00
-1.600000e+00 5.471561e+00 5.480862e+00
-1.580000e+00 5.392061e+00 5.401639e+00
-1.560000e+00 5.313561e+00 5.323382e+00
-1.540000e+00 5.236061e+00 5.246091e+00
-1.520000e+00 5.159561e+00 5.169765e+00
-1.500000e+00 5.084061e+00 5.094406e+00
-1.480000e+00 5.009561e+00 5.020013e+00
-1.460000e+00 4.936061e+00 4.946588e+00
-1.440000e+00 4.863561e+00 4.874130e+00
-1.420000e+00 4.792061e+00 4.802640e+00
-1.400000e+00 4.721561e+00 4.732120e+00
-1.380000e+00 4.652061e+00 4.662569e+00
-1.360000e+00 4.583561e+00 4.593989e+00
-1.340000e+00 4.516061e+00 4.526381e+00
-1.320000e+00 4.449561e+00 4.459745e+00
-1.300000e+00 4.384061e+00 4.394083e+00
-1.280000e+00 4.319561e+00 4.329395e+00
-1.260000e+00 4.256061e+00 4.265682e+00
-1.240000e+00 4.193561e+00 4.202946e+00
-1.220000e+00 4.132061e+00 4.141188e+00
-1.200000e+00 4.071561e+00 4.080408e+00
