x,rho_0.1,rho_0.05,rho_0.01,rho_0.005,rho_0.001,rho_0.0005,rho_0.0001
-2.0,-0.48095475205662386,-0.5459547520566239,-0.5907547520566238,-0.5959047520566239,-0.5999527520566239,-0.600454252056624,-0.6008547320566238
-1.98,-0.4830448182736067,-0.5469762678890081,-0.5909563688382776,-0.5960054288613805,-0.5999728675740823,-0.6004643086132618,-0.6008567431768437
-1.96,-0.4851129238571879,-0.5479872707771641,-0.5911559490264581,-0.5961050912116553,-0.5999927808062488,-0.6004742640648173,-0.6008587340820479
-1.94,-0.4871590914400444,-0.5489877662847044,-0.5913534927629033,-0.596203739115693,-0.6000124917446835,-0.6004841184064376,-0.6008607047711648
-1.92,-0.4891833436772597,-0.5499777599884312,-0.5915490001923933,-0.5963013725832821,-0.600032000381259,-0.6004938716334263,-0.600862655243154
-1.9,-0.49118570324154054,-0.5509572574772034,-0.5917424714627292,-0.5963979916257582,-0.6000513067081624,-0.6005035237412453,-0.6008645854970062
-1.88,-0.49316619281838864,-0.5519262643507906,-0.5919339067247114,-0.5964935962560057,-0.6000704107178987,-0.600513074725515,-0.6008664955317444
-1.8599999999999999,-0.4951248351012302,-0.552884786218713,-0.5921233061321169,-0.5965881864884597,-0.6000893124032929,-0.6005225245820167,-0.6008683853464242
-1.84,-0.4970616527865024,-0.5538328286990687,-0.592310669841675,-0.5966817623391077,-0.6001080117574924,-0.600531873306694,-0.600870254940133
-1.82,-0.4989766685687019,-0.5547703974173488,-0.5924959980130423,-0.5967743238254907,-0.6001265087739694,-0.6005411208956538,-0.6008721043119915
-1.8,-0.5008699051353942,-0.5556974980052396,-0.5926792908087769,-0.5968658709667034,-0.6001448034465241,-0.6005502673451669,-0.6008739334611533
-1.78,-0.5027413851621872,-0.5566141360994136,-0.5928605483943099,-0.5969564037833943,-0.6001628957692849,-0.600559312651671,-0.6008757423868054
-1.76,-0.5045911313076713,-0.5575203173403082,-0.5930397709379179,-0.5970459222977655,-0.6001807857367127,-0.6005682568117701,-0.6008775310881684
-1.74,-0.5064191662083244,-0.5584160473708946,-0.5932169586106932,-0.5971344265335713,-0.6001984733436014,-0.6005770998222367,-0.6008792995644969
-1.72,-0.5082255124733893,-0.5593013318354354,-0.5933921115865123,-0.5972219165161173,-0.6002159585850807,-0.6005858416800129,-0.6008810478150794
-1.7,-0.5100101926797206,-0.5601761763782312,-0.5935652300420046,-0.5973083922722581,-0.6002332414566175,-0.6005944823822109,-0.6008827758392392
-1.68,-0.5117732293666045,-0.5610405866423601,-0.5937363141565193,-0.5973938538303945,-0.6002503219540186,-0.6006030219261145,-0.6008844836363336
-1.66,-0.5135146450305542,-0.5618945682684039,-0.5939053641120912,-0.597478301220472,-0.600267200073431,-0.60061146030918,-0.6008861712057552
-1.6400000000000001,-0.5152344621200826,-0.5627381268931698,-0.5940723800934056,-0.5975617344739755,-0.6002838758113443,-0.6006197975290369,-0.6008878385469312
-1.62,-0.5169327030304526,-0.5635712681484003,-0.5942373622877617,-0.5976441536239273,-0.6003003491645924,-0.600628033583489,-0.6008894856593241
-1.6,-0.5186093900984092,-0.5643939976594766,-0.5944003108850353,-0.5977255587048809,-0.6003166201303541,-0.6006361684705157,-0.6008911125424323
-1.58,-0.5202645455968951,-0.5652063210441147,-0.5945612260776404,-0.5978059497529171,-0.6003326887061556,-0.6006442021882723,-0.6008927191957896
-1.56,-0.521898191729749,-0.5660082439110543,-0.5947201080604892,-0.5978853268056384,-0.6003485548898712,-0.6006521347350903,-0.6008943056189652
-1.54,-0.5235103506263935,-0.56679977185874,-0.5948769570309523,-0.5979636899021632,-0.6003642186797236,-0.600659966109479,-0.6008958718115646
-1.52,-0.5251010443365103,-0.5675809104739986,-0.5950317731888154,-0.5980410390831188,-0.6003796800742861,-0.6006676963101258,-0.6008974177732295
-1.5,-0.5266702948247062,-0.5683516653307095,-0.5951845567362382,-0.5981173743906344,-0.600394939072483,-0.6006753253358971,-0.6008989435036374
-1.48,-0.5282181239651735,-0.5691120419884701,-0.5953353078777095,-0.5981926958683348,-0.6004099956735905,-0.6006828531858377,-0.6009004490025027
-1.46,-0.5297445535363448,-0.5698620459912569,-0.5954840268200027,-0.5982670035613308,-0.6004248498772375,-0.600690279859173,-0.6009019342695759
-1.44,-0.5312496052155443,-0.5706016828660821,-0.5956307137721296,-0.5983402975162113,-0.6004395016834061,-0.6006976053553083,-0.6009033993046443
-1.42,-0.5327333005736404,-0.5713309581216481,-0.595775368945294,-0.5984125777810348,-0.6004539510924323,-0.6007048296738297,-0.600904844107532
-1.4,-0.5341956610696977,-0.5720498772469972,-0.5959179925528432,-0.5984838444053192,-0.6004681981050058,-0.6007119528145038,-0.6009062686780996
-1.38,-0.5356367080456338,-0.5727584457101597,-0.5960585848102194,-0.5985540974400315,-0.6004822427221717,-0.6007189747772795,-0.6009076730162451
-1.3599999999999999,-0.5370564627208813,-0.5734566689567999,-0.5961971459349098,-0.5986233369375782,-0.6004960849453288,-0.6007258955622863,-0.6009090571219029
-1.3399999999999999,-0.5384549461870574,-0.5741445524088611,-0.596333676146396,-0.598691562951793,-0.6005097247762309,-0.6007327151698353,-0.6009104209950451
-1.3199999999999998,-0.5398321794026445,-0.5748221014632086,-0.5964681756661013,-0.5987587755379261,-0.6005231622169871,-0.6007394336004203,-0.6009117646356805
