======================================================================================================================
   TRAFFIC LIGHT MFG EXAMPLE (NEWTON TYPE 2: NEWTON-PICARD)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.02, beta = 2, penalty = 150.0
Solver Parameters:
  PICARD_MAX_ITER = 200, PICARD_TOL = 1e-06
  DAMPING = 0.1
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
Grid Info:
  dt = 0.010000, dx = 0.005000
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)  
----------------------------------------------------------------------------------------------------------------------
1     | 9.6034e-02   | 7.0711e-03   | 2.1839e-01   | 7.6921e-04   | 395        | 0.1760
2     | 8.6742e-02   | 3.3562e-03   | 2.2361e-01   | 8.4980e-04   | 396        | 0.1711
3     | 8.0341e-02   | 2.1606e-03   | 2.0559e-01   | 8.4255e-04   | 410        | 0.1791
4     | 7.6162e-02   | 1.5909e-03   | 1.8284e-01   | 8.0716e-04   | 418        | 0.2273
5     | 7.1946e-02   | 1.2423e-03   | 1.6760e-01   | 7.9614e-04   | 442        | 0.1835
6     | 6.6140e-02   | 9.8539e-04   | 1.5950e-01   | 8.1298e-04   | 448        | 0.2308
7     | 5.9952e-02   | 7.9477e-04   | 1.4982e-01   | 8.1530e-04   | 436        | 0.2476
8     | 5.4995e-02   | 6.6316e-04   | 1.3982e-01   | 8.0727e-04   | 427        | 0.1913
9     | 5.2908e-02   | 5.8951e-04   | 1.3292e-01   | 8.0818e-04   | 432        | 0.2771
10    | 5.5502e-02   | 5.7794e-04   | 1.2188e-01   | 7.7262e-04   | 460        | 0.1933
11    | 5.6589e-02   | 5.5592e-04   | 1.0290e-01   | 6.7208e-04   | 474        | 0.1905
12    | 5.5733e-02   | 5.2005e-04   | 8.2256e-02   | 5.4804e-04   | 474        | 0.1959
13    | 5.6327e-02   | 5.0052e-04   | 7.0412e-02   | 4.7540e-04   | 470        | 0.2387
14    | 5.8225e-02   | 4.9216e-04   | 7.9328e-02   | 5.3973e-04   | 468        | 0.1965
15    | 5.8300e-02   | 4.6835e-04   | 8.7624e-02   | 5.9736e-04   | 468        | 0.1962
16    | 5.4486e-02   | 4.1702e-04   | 9.0327e-02   | 6.1466e-04   | 466        | 0.1791
17    | 5.0175e-02   | 3.6728e-04   | 9.4534e-02   | 6.4059e-04   | 463        | 0.1868
18    | 4.6121e-02   | 3.2420e-04   | 9.7456e-02   | 6.5661e-04   | 449        | 0.1753
19    | 4.1441e-02   | 2.8099e-04   | 9.6319e-02   | 6.4482e-04   | 442        | 0.1723
20    | 3.6324e-02   | 2.3869e-04   | 9.0979e-02   | 6.0544e-04   | 440        | 0.1803
21    | 3.1584e-02   | 2.0200e-04   | 8.3118e-02   | 5.5058e-04   | 440        | 0.2181
22    | 2.7690e-02   | 1.7301e-04   | 7.4571e-02   | 4.9265e-04   | 444        | 0.1772
23    | 2.4745e-02   | 1.5147e-04   | 6.6340e-02   | 4.3814e-04   | 442        | 0.1833
24    | 2.2701e-02   | 1.3643e-04   | 5.9494e-02   | 3.9390e-04   | 443        | 0.1852
25    | 2.1321e-02   | 1.2599e-04   | 5.7674e-02   | 3.8387e-04   | 444        | 0.1899
26    | 2.0054e-02   | 1.1667e-04   | 6.0762e-02   | 4.0721e-04   | 442        | 0.1859
27    | 1.8873e-02   | 1.0820e-04   | 6.1358e-02   | 4.1403e-04   | 434        | 0.2315
28    | 1.9205e-02   | 1.0856e-04   | 5.5829e-02   | 3.7901e-04   | 430        | 0.1959
29    | 2.2190e-02   | 1.2365e-04   | 4.9213e-02   | 3.3582e-04   | 425        | 0.1617
30    | 2.6611e-02   | 1.4610e-04   | 4.4315e-02   | 3.0365e-04   | 435        | 0.1717
31    | 2.8134e-02   | 1.5218e-04   | 4.2570e-02   | 2.9263e-04   | 439        | 0.2441
32    | 2.7198e-02   | 1.4495e-04   | 4.7918e-02   | 3.3016e-04   | 435        | 0.1952
33    | 2.5200e-02   | 1.3230e-04   | 5.4309e-02   | 3.7453e-04   | 428        | 0.1721
34    | 2.2392e-02   | 1.1588e-04   | 5.0095e-02   | 3.4532e-04   | 434        | 0.2136
35    | 1.9620e-02   | 1.0023e-04   | 4.2118e-02   | 2.9013e-04   | 449        | 0.1832
36    | 1.7509e-02   | 8.8416e-05   | 3.6282e-02   | 2.4986e-04   | 452        | 0.1887
37    | 1.6141e-02   | 8.0657e-05   | 3.3088e-02   | 2.2794e-04   | 447        | 0.1864
