=========================================================================================================
   TRAFFIC LIGHT MFG EXAMPLE (HIGH DIFFICULTY) 
=========================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.02, beta = 2, penalty = 150.0
Solver Parameters:
  PICARD_MAX_ITER = 200, PICARD_TOL = 1e-06
  DAMPING = 0.3
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-08
Grid Info:
  dt = 0.010000, dx = 0.005000
---------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)
---------------------------------------------------------------------------------------------------------
1     | 2.9048e-01   | 2.9048e+08   | 7.9878e-01   | 2.6270e-03   | 383        | 0.0985
2     | 2.3330e-01   | 5.6793e-03   | 6.9334e-01   | 2.9380e-03   | 401        | 0.1015
3     | 1.7517e-01   | 2.3872e-03   | 6.6606e-01   | 3.3546e-03   | 407        | 0.1013
4     | 1.9055e-01   | 1.9726e-03   | 3.5479e-01   | 1.8386e-03   | 467        | 0.1156
5     | 2.0053e-01   | 1.7724e-03   | 4.8688e-01   | 2.6230e-03   | 451        | 0.1131
6     | 1.4072e-01   | 1.0575e-03   | 4.7267e-01   | 2.6049e-03   | 457        | 0.1131
7     | 1.0389e-01   | 6.9216e-04   | 3.3268e-01   | 1.8234e-03   | 432        | 0.1064
8     | 7.9965e-02   | 4.9054e-04   | 2.9421e-01   | 1.6144e-03   | 436        | 0.1077
9     | 5.4902e-02   | 3.1770e-04   | 2.7887e-01   | 1.5732e-03   | 420        | 0.1036
10    | 1.0560e-01   | 5.8885e-04   | 2.5356e-01   | 1.4481e-03   | 419        | 0.1031
11    | 6.5553e-02   | 3.4850e-04   | 2.2234e-01   | 1.2756e-03   | 432        | 0.1058
12    | 5.6598e-02   | 2.8975e-04   | 1.9547e-01   | 1.1289e-03   | 424        | 0.1047
13    | 4.4750e-02   | 2.2135e-04   | 1.6994e-01   | 9.8245e-04   | 412        | 0.1015
14    | 3.6502e-02   | 1.7664e-04   | 1.9315e-01   | 1.1162e-03   | 420        | 0.1032
15    | 4.8956e-02   | 2.3324e-04   | 1.9823e-01   | 1.1540e-03   | 408        | 0.1012
16    | 3.7029e-02   | 1.7504e-04   | 1.3755e-01   | 8.0202e-04   | 407        | 0.1007
17    | 4.1341e-02   | 1.9364e-04   | 1.2814e-01   | 7.5180e-04   | 409        | 0.1010
18    | 3.1064e-02   | 1.4284e-04   | 1.1445e-01   | 6.7082e-04   | 415        | 0.1027
19    | 2.1605e-02   | 9.7894e-05   | 9.0494e-02   | 5.3412e-04   | 401        | 0.0993
20    | 2.1906e-02   | 9.8563e-05   | 9.9698e-02   | 5.8680e-04   | 411        | 0.1016
21    | 3.3204e-02   | 1.4798e-04   | 1.0023e-01   | 5.9014e-04   | 408        | 0.1008
22    | 2.3007e-02   | 1.0180e-04   | 1.0682e-01   | 6.2865e-04   | 417        | 0.1028
23    | 2.2602e-02   | 9.9695e-05   | 1.1409e-01   | 6.7382e-04   | 404        | 0.1000
24    | 2.6977e-02   | 1.1909e-04   | 1.0243e-01   | 6.0237e-04   | 413        | 0.1015
25    | 1.8835e-02   | 8.3100e-05   | 9.3832e-02   | 5.5392e-04   | 407        | 0.1006
26    | 1.5319e-02   | 6.7423e-05   | 8.9094e-02   | 5.2496e-04   | 415        | 0.1029
27    | 1.5367e-02   | 6.7438e-05   | 8.5981e-02   | 5.0797e-04   | 406        | 0.1009
28    | 1.3655e-02   | 5.9845e-05   | 7.8720e-02   | 4.6394e-04   | 410        | 0.1023
29    | 1.3313e-02   | 5.8276e-05   | 5.8709e-02   | 3.4664e-04   | 405        | 0.1006
30    | 1.0862e-02   | 4.7434e-05   | 6.3979e-02   | 3.7784e-04   | 414        | 0.1029
31    | 1.1847e-02   | 5.1648e-05   | 6.8053e-02   | 4.0180e-04   | 405        | 0.1001
32    | 1.4632e-02   | 6.3836e-05   | 8.2728e-02   | 4.8835e-04   | 405        | 0.1002
33    | 1.9378e-02   | 8.4552e-05   | 9.0385e-02   | 5.3307e-04   | 405        | 0.1006
34    | 2.1260e-02   | 9.3008e-05   | 9.5581e-02   | 5.6424e-04   | 404        | 0.1000
35    | 2.4881e-02   | 1.0908e-04   | 1.1202e-01   | 6.5926e-04   | 410        | 0.1014
36    | 2.9089e-02   | 1.2781e-04   | 1.3482e-01   | 7.9478e-04   | 402        | 0.1002
