======================================================================================================================
   NONLOCAL CONGESTION MFG EXAMPLE (NEWTON TYPE 2: NEWTON-PICARD)
======================================================================================================================
Parameters:
  xmin = 0.0, xmax = 1.0
  T    = 1.0, Nx = 200, Nt = 100
  nu   = 0.01, beta = 1.5, zeta = 1.0, sigma_kernel = 0.2
Solver Parameters:
  PICARD_MAX_ITER = 300, PICARD_TOL = 1e-06
  DAMPING = 0.15
  NEWTON_MAX_ITER = 20, NEWTON_TOL = 1e-09
Grid Info:
  dt = 0.010000, dx = 0.005000
----------------------------------------------------------------------------------------------------------------------
Iter  | Abs Err U    | Rel Err U    | Abs Err M    | Rel Err M    | Newton It  | Time (s)  
----------------------------------------------------------------------------------------------------------------------
1     | 1.1768e-01   | 7.0711e-03   | 1.2568e-02   | 5.8099e-05   | 313        | 0.1989
2     | 1.0005e-01   | 3.2491e-03   | 2.1203e-02   | 9.8666e-05   | 313        | 0.2144
3     | 8.5065e-02   | 1.9865e-03   | 2.6812e-02   | 1.2582e-04   | 313        | 0.2105
4     | 7.2341e-02   | 1.3636e-03   | 3.0116e-02   | 1.4267e-04   | 312        | 0.2059
5     | 6.1531e-02   | 9.9642e-04   | 3.1686e-02   | 1.5159e-04   | 312        | 0.1954
6     | 5.2348e-02   | 7.5700e-04   | 3.1972e-02   | 1.5447e-04   | 312        | 0.1903
7     | 4.4549e-02   | 5.9045e-04   | 3.1328e-02   | 1.5280e-04   | 312        | 0.1968
8     | 3.7924e-02   | 4.6932e-04   | 3.0030e-02   | 1.4779e-04   | 312        | 0.1992
9     | 3.2297e-02   | 3.7835e-04   | 2.8296e-02   | 1.4041e-04   | 311        | 0.2239
10    | 2.7519e-02   | 3.0836e-04   | 2.6292e-02   | 1.3145e-04   | 311        | 0.1995
11    | 2.3460e-02   | 2.5350e-04   | 2.4145e-02   | 1.2154e-04   | 311        | 0.2008
12    | 2.0013e-02   | 2.0988e-04   | 2.1952e-02   | 1.1117e-04   | 311        | 0.2135
13    | 1.7083e-02   | 1.7477e-04   | 1.9783e-02   | 1.0072e-04   | 311        | 0.2027
14    | 1.4594e-02   | 1.4625e-04   | 1.7689e-02   | 9.0471e-05   | 310        | 0.2023
15    | 1.2476e-02   | 1.2289e-04   | 1.5705e-02   | 8.0646e-05   | 310        | 0.2011
16    | 1.0673e-02   | 1.0363e-04   | 1.3855e-02   | 7.1387e-05   | 310        | 0.1986
17    | 9.1378e-03   | 8.7647e-05   | 1.2150e-02   | 6.2788e-05   | 310        | 0.2282
18    | 7.8283e-03   | 7.4322e-05   | 1.0598e-02   | 5.4901e-05   | 310        | 0.1978
19    | 6.7102e-03   | 6.3159e-05   | 9.1985e-03   | 4.7748e-05   | 310        | 0.1993
20    | 5.7545e-03   | 5.3770e-05   | 7.9470e-03   | 4.1321e-05   | 310        | 0.2016
21    | 4.9366e-03   | 4.5843e-05   | 6.8369e-03   | 3.5599e-05   | 310        | 0.2493
22    | 4.2357e-03   | 3.9129e-05   | 5.8597e-03   | 3.0546e-05   | 310        | 0.2098
23    | 3.6345e-03   | 3.3427e-05   | 5.0052e-03   | 2.6116e-05   | 310        | 0.1996
24    | 3.1182e-03   | 2.8571e-05   | 4.2628e-03   | 2.2259e-05   | 310        | 0.1963
25    | 2.6745e-03   | 2.4427e-05   | 3.6218e-03   | 1.8922e-05   | 310        | 0.1992
26    | 2.2930e-03   | 2.0886e-05   | 3.0713e-03   | 1.6054e-05   | 310        | 0.2015
27    | 1.9647e-03   | 1.7854e-05   | 2.6011e-03   | 1.3601e-05   | 310        | 0.2057
28    | 1.6822e-03   | 1.5257e-05   | 2.2013e-03   | 1.1513e-05   | 310        | 0.2006
29    | 1.4390e-03   | 1.3030e-05   | 1.8629e-03   | 9.7449e-06   | 310        | 0.1794
30    | 1.2298e-03   | 1.1120e-05   | 1.5773e-03   | 8.2522e-06   | 310        | 0.1716
31    | 1.0499e-03   | 9.4820e-06   | 1.3370e-03   | 6.9954e-06   | 310        | 0.1740
32    | 8.9532e-04   | 8.0774e-06   | 1.1350e-03   | 5.9390e-06   | 310        | 0.1853
33    | 7.6255e-04   | 6.8736e-06   | 9.6536e-04   | 5.0514e-06   | 310        | 0.1946
34    | 6.4866e-04   | 5.8427e-06   | 8.2277e-04   | 4.3054e-06   | 310        | 0.1924
35    | 5.5108e-04   | 4.9606e-06   | 7.0272e-04   | 3.6771e-06   | 310        | 0.1983
36    | 4.6759e-04   | 4.2068e-06   | 6.0139e-04   | 3.1468e-06   | 310        | 0.2030
37    | 3.9626e-04   | 3.5635e-06   | 5.1559e-04   | 2.6978e-06   | 310        | 0.2030
38    | 3.3542e-04   | 3.0152e-06   | 4.4269e-04   | 2.3163e-06   | 310        | 0.2023
39    | 2.8360e-04   | 2.5486e-06   | 3.8054e-04   | 1.9910e-06   | 310        | 0.2026
40    | 2.3955e-04   | 2.1521e-06   | 3.2736e-04   | 1.7127e-06   | 310        | 0.2035
41    | 2.0216e-04   | 1.8158e-06   | 2.8172e-04   | 1.4739e-06   | 310        | 0.2001
42    | 1.7049e-04   | 1.5310e-06   | 2.4244e-04   | 1.2684e-06   | 310        | 0.2071
43    | 1.4369e-04   | 1.2901e-06   | 2.0857e-04   | 1.0911e-06   | 310        | 0.2021
44    | 1.2107e-04   | 1.0868e-06   | 1.7932e-04   | 9.3806e-07   | 310        | 0.2042
45    | 1.0199e-04   | 9.1542e-07   | 1.5402e-04   | 8.0570e-07   | 310        | 0.2018
----------------------------------------------------------------------------------------------------------------------
CONVERGED at nu=0.01 in 45 iterations.
Total Execution Time: 9.0786 seconds.
