nu,Nx,Ny,Nt,status,time,cumulative_time,newton_iters,warm_start,residual
1.0,16,16,10,converged,3.9,3.9,8,False,1.13e-08
0.3,16,16,10,converged,2.1,6.0,5,True,7.34e-11
0.1,16,16,10,converged,1.9,7.9,5,True,3.42e-09
0.03,16,16,10,converged,1.8,9.7,4,True,4.08e-07
0.01,16,16,10,converged,2.0,11.7,4,True,1.05e-08
0.003,16,16,10,converged,1.5,13.2,4,True,1.39e-11
0.001,16,16,10,converged,1.4,14.6,3,True,7.38e-08
0.0003,16,16,10,converged,1.1,15.7,3,True,1.36e-09
0.0001,16,16,10,converged,1.1,16.8,3,True,3.49e-11
1.0,32,32,10,converged,62.7,62.7,8,False,5.88e-09
0.3,32,32,10,converged,33.2,95.9,5,True,1.86e-09
0.1,32,32,10,converged,31.9,127.8,5,True,1.09e-08
0.03,32,32,10,converged,30.0,157.8,5,True,3.98e-10
0.01,32,32,10,converged,34.6,192.4,5,True,6.38e-12
0.003,32,32,10,converged,24.9,217.3,5,True,6.82e-13
0.001,32,32,10,converged,26.4,241.7,4,True,7.38e-13
0.0003,32,32,10,converged,17.7,259.4,3,True,1.80e-08
0.0001,32,32,10,converged,18.2,277.6,3,True,1.32e-10
1.0,64,64,10,converged,1033.1,1033.1,8,False,3.78e-11
0.3,64,64,10,converged,564.3,1597.4,5,True,6.32e-08
0.1,64,64,10,converged,613.0,2210.4,5,True,4.86e-12
0.03,64,64,10,converged,506.1,2716.5,5,True,2.47e-09
0.01,64,64,10,converged,475.4,3191.9,5,True,2.16e-10
0.003,64,64,10,converged,432.2,3624.1,5,True,6.43e-11
0.001,64,64,10,converged,383.7,4007.8,4,True,1.57e-11
0.0003,64,64,10,converged,335.3,4343.1,3,True,1.50e-10
0.0001,64,64,10,converged,305.6,4648.7,3,True,3.03e-10
1.0,128,128,10,converged,12936.8,12936.8,8,False,2.13e-09
0.3,128,128,10,converged,6796.0,19732.8,5,True,2.64e-12
0.1,128,128,10,converged,6520.2,26253.0,5,True,1.02e-12
0.03,128,128,10,converged,5661.2,31914.2,5,True,1.82e-10
0.01,128,128,10,converged,5433.8,37348.0,5,True,6.29e-11
0.003,128,128,10,converged,4817.9,42165.9,5,True,5.65e-13
0.001,128,128,10,converged,4468.4,46634.3,4,True,5.50e-09
0.0003,128,128,10,converged,3883.1,50517.4,3,True,8.38e-08
0.0001,128,128,10,converged,3502.5,54019.9,3,True,8.18e-12
